City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,hasaki,35.7333,140.8333,81.0,89,100,12.35,JP,Fri Jul 19 15:22:58 2024
62,bambanglipuro,-7.95,110.2833,70.59,90,2,6.64,ID,Fri Jul 19 15:22:59 2024
63,nova sintra,14.8667,-24.7167,78.04,84,32,11.23,CV,Fri Jul 19 15:22:59 2024
64,sinop,41.7711,34.8709,69.01,71,0,4.05,TR,Fri Jul 19 15:22:59 2024
65,avarua,-21.2078,-159.775,71.65,64,75,3.44,CK,Fri Jul 19 15:22:59 2024
66,wailua homesteads,22.0669,-159.378,81.03,69,0,12.66,US,Fri Jul 19 15:22:59 2024
67,hawaiian paradise park,19.5933,-154.9731,82.04,72,0,1.99,US,Fri Jul 19 15:23:00 2024
68,kourou,5.1552,-52.6478,84.25,70,32,6.44,GF,Fri Jul 19 15:23:00 2024
69,anantapur,14.6833,77.6,76.08,79,100,21.3,IN,Fri Jul 19 15:23:00 2024
70,hithadhoo,-0.6,73.0833,83.97,69,100,4.7,MV,Fri Jul 19 15:21:10 2024
71,qaqortoq,60.7167,-46.0333,52.32,70,100,8.68,GL,Fri Jul 19 15:23:00 2024
72,shimanovsk,52.0,127.7,60.73,98,96,3.2,RU,Fri Jul 19 15:23:01 2024
73,west island,-12.1568,96.8225,80.58,78,20,19.57,CC,Fri Jul 19 15:23:01 2024
74,lautoka,-17.6167,177.4667,80.46,74,75,8.05,FJ,Fri Jul 19 15:23:02 2024
75,champa,22.05,82.65,87.48,63,12,6.85,IN,Fri Jul 19 15:23:02 2024
76,saipan,15.1355,145.701,84.9,74,40,11.5,MP,Fri Jul 19 15:23:02 2024
77,bethel,41.3712,-73.414,82.8,54,40,3.44,US,Fri Jul 19 15:23:02 2024
78,enewetak,11.3474,162.3373,83.89,76,86,17.65,MH,Fri Jul 19 15:23:02 2024
79,springbok,-29.6643,17.8865,44.51,80,0,3.38,ZA,Fri Jul 19 15:23:03 2024
80,polyarnyy,69.1989,33.4478,58.73,77,55,14.65,RU,Fri Jul 19 15:23:03 2024
81,mukalla,14.5425,49.1242,84.83,75,91,5.23,YE,Fri Jul 19 15:23:03 2024
82,salinopolis,-0.6136,-47.3561,83.88,71,69,13.35,BR,Fri Jul 19 15:23:03 2024
83,portland,45.5234,-122.6762,83.86,49,0,7.0,US,Fri Jul 19 15:20:39 2024
84,puerto san jose,13.9256,-90.8244,87.85,72,75,4.61,GT,Fri Jul 19 15:23:04 2024
85,mooirivier,-29.2082,29.9946,45.37,93,31,4.47,ZA,Fri Jul 19 15:23:04 2024
86,tottori,35.5,134.2333,76.82,90,75,7.29,JP,Fri Jul 19 15:21:41 2024
87,xining,36.6167,101.7667,62.51,82,0,3.31,CN,Fri Jul 19 15:20:51 2024
88,iqaluit,63.7506,-68.5145,42.53,86,100,9.22,CA,Fri Jul 19 15:18:18 2024
89,point pedro,9.8167,80.2333,82.83,77,100,13.18,LK,Fri Jul 19 15:23:05 2024
90,jurilovca,44.7667,28.8667,82.49,61,0,2.73,RO,Fri Jul 19 15:23:05 2024
91,magong,23.5654,119.5863,84.92,79,1,2.77,TW,Fri Jul 19 15:23:05 2024
92,minas de marcona,-15.2119,-75.1103,61.09,59,8,8.55,PE,Fri Jul 19 15:23:05 2024
93,longyearbyen,78.2186,15.6401,46.24,71,20,23.02,SJ,Fri Jul 19 15:23:06 2024
94,atafu village,-8.5421,-172.5159,82.22,78,84,17.43,TK,Fri Jul 19 15:23:06 2024
95,salahonda,2.1019,-78.7217,79.29,81,74,11.03,CO,Fri Jul 19 15:23:06 2024
96,new norfolk,-42.7826,147.0587,40.71,97,100,2.68,AU,Fri Jul 19 15:23:06 2024
97,lebu,-37.6167,-73.65,50.31,52,0,17.22,CL,Fri Jul 19 15:23:07 2024
98,prince rupert,54.3161,-130.3201,64.49,82,100,12.66,CA,Fri Jul 19 15:23:07 2024
99,papatowai,-46.5619,169.4708,44.83,91,100,7.38,NZ,Fri Jul 19 15:23:07 2024
100,boise,43.6135,-116.2035,94.93,24,0,5.75,US,Fri Jul 19 15:21:14 2024
101,bredasdorp,-34.5322,20.0403,51.89,91,100,8.12,ZA,Fri Jul 19 15:23:07 2024
102,sandnessjoen,66.0217,12.6316,57.72,94,75,4.61,NO,Fri Jul 19 15:23:08 2024
103,san antonio de pale,-1.4014,5.6325,72.93,81,54,10.98,GQ,Fri Jul 19 15:23:08 2024
104,uzgen,40.7699,73.3007,70.09,55,5,6.35,KG,Fri Jul 19 15:23:08 2024
105,horta,38.5333,-28.6333,76.64,81,20,14.97,PT,Fri Jul 19 15:23:08 2024
106,vilyuchinsk,52.9306,158.4028,48.47,85,100,4.18,RU,Fri Jul 19 15:23:08 2024
107,tsiombe,-25.3,45.4833,66.79,93,0,3.53,MG,Fri Jul 19 15:23:09 2024
